2025-03-10,Lebensmittel,19.13
2025-03-10,Fitness & Gesundheit,1.89
2025-03-10,Auto,24.63
2025-03-11,Lebensmittel,4.14
2025-03-11,Haushalt,2.85
2025-03-11,Fitness & Gesundheit,14.48
2025-03-12,Auto,19.13
2025-03-13,Lebensmittel,5.76
2025-03-14,Fitness & Gesundheit,2.49
2025-03-14,Lebensmittel,9.46
2025-03-14,Lebensmittel,1.79
2025-03-14,Lebensmittel,3.24
2025-03-14,Genuss & Unterhaltung,3.58
2025-03-14,Lebensmittel,5.24
2025-03-14,Lebensmittel,4.23
2025-03-16,Körperpflege,10.49
2025-03-17,Lebensmittel,1.2
2025-03-17,Hund,12.33
2025-03-17,Lebensmittel,2.7
2025-03-17,Körperpflege,3.95
2025-03-17,Haushalt,1.79
2025-03-17,Auto,30
2025-03-18,Fitness & Gesundheit,6
2025-03-18,Genuss & Unterhaltung,8.6
2025-03-18,Lebensmittel,3.7
2025-03-18,Haushalt,4.9
2025-03-18,Fitness & Gesundheit,35.9
2025-03-19,Lebensmittel,4.5
2025-03-19,Fitness & Gesundheit,2.49
2025-03-20,Haushalt,2
2025-03-20,Fitness & Gesundheit,1.99
2025-03-21,Hund,0.55
2025-03-21,Lebensmittel,2.07
2025-03-22,Fitness & Gesundheit,6
2025-03-22,Lebensmittel,5.3
2025-03-22,Fitness & Gesundheit,1.99
2025-03-22,Lebensmittel,13.59
2025-03-22,Fitness & Gesundheit,2.99
2025-03-22,Hund,8.99
2025-03-23,Genuss & Unterhaltung,1.99
2025-03-23,Fitness & Gesundheit,1.99
2025-03-23,Auto,40.07
2025-03-24,Lebensmittel,3.55
2025-03-24,Lebensmittel,7.03
2025-03-24,Körperpflege,0.79
2025-03-24,Fitness & Gesundheit,1.99
2025-03-25,Lebensmittel,3.55
2025-03-25,Fitness & Gesundheit,0.85
2025-03-25,Körperpflege,5.95
2025-03-25,Lebensmittel,12.65
2025-03-26,Lebensmittel,16.23
2025-03-26,Lebensmittel,11
2025-03-26,Fitness & Gesundheit,6
2025-03-26,Fitness & Gesundheit,47.54
2025-03-27,Fitness & Gesundheit,4.58
2025-03-27,Lebensmittel,1.5
2025-03-27,Fitness & Gesundheit,1.99
2025-03-27,Fitness & Gesundheit,6
2025-03-27,Lebensmittel,4.1
2025-03-28,Haushalt,6.78
2025-03-28,Lebensmittel,22.98
2025-03-28,Lebensmittel,14.85
2025-03-28,Fitness & Gesundheit,1.79
2025-03-29,Lebensmittel,20.6
2025-03-29,Fitness & Gesundheit,1.79
2025-03-29,Anthroposophie,30
2025-03-30,Fitness & Gesundheit,1.79
2025-03-30,Lebensmittel,2.25
2025-03-31,Genuss & Unterhaltung,11.91
2025-03-31,Lebensmittel,8.05
2025-03-31,Haushalt,0.95
2025-03-31,Fitness & Gesundheit,2
2025-03-31,Körperpflege,1.45
2025-03-31,Haushalt,2
2025-03-31,Lebensmittel,6.2
2025-03-31,Fitness & Gesundheit,74.74
2025-04-01,Lebensmittel,4.21
2025-04-01,Hund,95
2025-04-02,Lebensmittel,9.18
2025-04-02,Lebensmittel,7.92
2025-04-02,Hund,1.69
2025-04-02,Haushalt,1.29
2025-04-02,Lebensmittel,21.33
2025-04-03,Hund,39
2025-04-04,Lebensmittel,14.97
2025-04-04,Haushalt,3.24
2025-04-04,Lebensmittel,4.97
2025-04-04,Genuss & Unterhaltung,2.7
2025-04-05,Genuss & Unterhaltung,9
2025-04-05,Lebensmittel,4.79
2025-04-05,Genuss & Unterhaltung,3.68
2025-04-05,Lebensmittel,2.48
2025-04-05,Fitness & Gesundheit,2.29
2025-04-07,Lebensmittel,7.96
2025-04-08,Fitness & Gesundheit,2.29
2025-04-08,Haushalt,39.46
2025-04-08,Fitness & Gesundheit,60
2025-04-09,Lebensmittel,2.6
2025-04-09,Lebensmittel,6.4
2025-04-10,Lebensmittel,2.87
2025-04-10,Lebensmittel,14.84
2025-04-10,Lebensmittel,1.79
2025-04-10,Lebensmittel,6.97
2025-04-11,Lebensmittel,7.15
2025-04-11,Fitness & Gesundheit,1.79
2025-04-12,Auto,78.07
2025-04-12,Auto,15.6
2025-04-12,Lebensmittel,2.38
2025-04-12,Hund,0.68
2025-04-12,Genuss & Unterhaltung,5.16
2025-04-14,Fitness & Gesundheit,1.99
2025-04-15,Lebensmittel,5.1
2025-04-15,Anthroposophie,300
2025-04-17,Hund,60
2025-04-17,Auto,2
2025-04-20,Sparen,125
2025-05-01,Anthroposophie,186
2025-05-13,Kleidung,43.91
